Sentiment,Mean_Return,Std_Dev,Sharpe_Ratio
Extreme Greed,130.20530910051312,1058.126139074279,0.12305272905782821
Neutral,71.19999314664905,743.2128626515174,0.09580027031910207
Fear,112.62598770940687,1344.7784270101797,0.08375059076446228
Greed,87.07017977448177,1581.9643916806385,0.05503927915974179
Extreme Fear,71.02731582644627,1628.4083414690222,0.043617632026111464
