Sentiment,VaR_95%,VaR_99%,Max_Loss,Max_Gain,Std_Dev
Extreme Greed,-5.843051599999997,-135.43484032,-10259.468,44223.45187,1058.126139074279
Extreme Fear,-198.699782,-1211.73989065,-31036.69194,115287.0,1628.4083414690222
Fear,-17.780042549999997,-236.60430873,-35681.74723,135329.0901,1344.7784270101797
Greed,-37.75736625,-417.52965048000004,-117990.1041,74530.52371,1581.9643916806385
Neutral,-27.326341199999998,-359.8815749399999,-24500.0,48504.09555,743.2128626515174
