Strategy,Total_PnL,Avg_PnL_per_Trade,Win_Rate_%,Num_Trades,Total_Volume,ROI_%
Trade in Fear,3357155.441642,112.62598770940687,87.28864734299518,29808,483324789.79,0.6945961623654048
Trade in Extreme Greed,2715171.310673,130.20530910051312,89.16702632714717,20853,124465164.57000002,2.181470871832552
Trade in Greed,2192601.267081,87.07017977448177,76.89619569533794,25182,288671163.58000004,0.7595498074310979
Trade in Neutral,1292920.67555,71.19999314664905,82.38889806707418,18159,180242063.08,0.7173246097256112
Trade in Extreme Fear,739110.2484899999,71.02731582644627,76.21564482029598,10406,114484261.44,0.6455998747717474
